start,end,categories,title,desc
9:00am,9:10am,Introduction,,
9:10am,9:40am,Invited Talk:,Joseph Lim,Skill Reuse in Deep Reinforcement Learning
9:40am,10:00am,Oral Presentations (x2),,
10:00am,10:30am,Invited Talk:,Avishkar Bhoopchand,Human-Timescale Adaptation in an Open-Ended Task Space
10:30am,11:05am,Spotlight Presentations (x7),,
11:05am,12:30pm,Lunch Break,,
12:30pm,2:30pm,Poster Session,,
2:30pm,3:00pm,Oral Presentations (x3),,
3:00pm,3:30pm,Invited Talk:,Anna Goldie,RL for Chip Design / LLMs
3:30pm,4:00pm,Invited Talk:,Sergey Levine,Leveraging Offline Datasets / Foundation Models for Real-World RL
4:00pm,4:50pm,Panel:,Challenges & Open Problems in Reusing Prior Computation,"Joseph Lim, Furong Huang, Marc G Bellemare, Avishkar Bhoopchand, Linxi Fan and Jeff Clune"
4:50pm,5:00pm,Closing Remarks,,
